p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.alpha2,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.psi44,RMSE.psi55,RMSE.phi11,RMSE.phi12,RMSE.phi13,RMSE.phi22,RMSE.phi23,RMSE.phi33,BIAS.alpha1,BIAS.alpha2,BIAS.alpha3,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.psi44,BIAS.psi55,BIAS.phi11,BIAS.phi12,BIAS.phi13,BIAS.phi22,BIAS.phi23,BIAS.phi33,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.alpha3,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.psi44,SE BIAS.psi55,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi13,SE BIAS.phi22,SE BIAS.phi23,SE BIAS.phi33
5,3,50,14,6,Elliptical,fiteu,1,NA,0.049797773,0.80262296,0.277012332,0.238,0.094,0.057,0.030398773,0.053946998,0.035259937,1.163247251,0.7597225,0.519698952,1.019277915,2.744126554,0.468310577,1.077505138,0.617057814,1.416949103,0.880977303,0.450242625,6.41E-06,0.001404054,-0.001818939,0.029337565,0.019856409,-0.004240959,-0.06948547,0.287708585,-0.034373497,0.019754925,-0.030455574,-0.132437965,0.009992302,-0.032849802,-0.035407802,-0.09041667,-0.028465748,-0.348099078,-0.538712771,-0.294606136,-0.368805215,-0.286381338,-0.290072925,-0.288225265,-0.304183733,-0.281478198,-0.300963141,-0.422354628
5,3,50,14,6,Elliptical,fitos,1,NA,0.049797773,0.80262296,0.08190773,0.238,0.19,0.138,0.030398773,0.053946998,0.035259937,1.163247251,0.7597225,0.519698952,1.019277915,2.744126554,0.468310577,1.077505138,0.617057814,1.416949103,0.880977303,0.450242625,6.41E-06,0.001404054,-0.001818939,0.029337565,0.019856409,-0.004240959,-0.06948547,0.287708585,-0.034373497,0.019754925,-0.030455574,-0.132437965,0.009992302,-0.032849802,0.039622145,-0.050587522,0.053292068,-0.14375596,-0.256540998,-0.007361015,-0.0383102,-0.092035224,-0.070872295,-0.078088294,-0.022216279,-0.107833672,-0.038562995,-0.147629555
5,3,50,14,6,Skew,gammaN.model,0.993,0.72,0.159678892,0.797407018,0.225110754,0.131923464,0.049345418,0.03021148,0.030567458,0.052032969,0.033557335,1.163174265,0.737934698,0.761435666,0.89034395,2.534821898,0.810023711,1.061453405,0.735077975,0.911133118,0.858507632,0.583634176,-0.005217886,-0.014776942,-0.002644456,-0.188698662,-0.215813256,-0.26953957,-0.254750312,-0.170748035,-0.158045156,-0.252154545,-0.165019255,-0.119943651,-0.242965054,-0.182708133,-0.111968097,-0.086478327,-0.071116108,-0.287134418,-0.33586769,-0.260199862,-0.18873037,-0.151181008,-0.440235524,-0.210600238,-0.358461181,-0.143787329,-0.20538491,-0.300405492
5,3,50,14,6,Skew,gammaN.s,1,0.48,0.122409695,0.821000152,0.227938761,0.032,0.05,0.041,0.030894085,0.052534768,0.033824676,1.205508416,0.775014473,0.851778679,0.992351972,2.352084011,0.802919447,1.148844731,0.785854762,0.861012207,0.954143569,0.647236338,-0.005951403,-0.015906393,-0.002911686,-0.256012973,-0.292069166,-0.348073723,-0.34597135,-0.18900228,-0.202003918,-0.325054055,-0.221257849,-0.114306725,-0.306768674,-0.230743862,-0.139423328,-0.106879099,-0.104225254,-0.282324522,-0.316102269,-0.2487897,-0.178749962,-0.124964997,-0.42003159,-0.200670675,-0.366283149,-0.147823363,-0.224366615,-0.33050813
5,3,50,14,6,Skew,ridgeI,1,0.99,9.046509219,0.871763746,0.214589123,1,0.065,0.037,0.031577557,0.053419211,0.035150549,1.151264885,0.867790187,0.948685139,1.082309353,2.678899832,0.776154593,1.235524143,0.756519956,0.885449943,1.014404651,0.68754245,-0.009798747,-0.018674762,-0.008781794,-0.30355831,-0.336456786,-0.380794825,-0.380818528,-0.29048474,-0.26765918,-0.364974212,-0.281327216,-0.15500462,-0.357201184,-0.298201903,-0.145664441,-0.114448729,-0.129167862,-0.199513185,-0.311742421,-0.27187785,-0.190545325,-0.148235638,-0.338350227,-0.229884149,-0.277330068,-0.156345403,-0.21217296,-0.27896947
5,3,50,14,6,Skew,ridgeD,1,0,0.149702492,0.931582954,0.266689616,0.087,0.087,0.087,0.033368219,0.057267717,0.03586184,1.245079052,0.963003765,1.128740043,1.240802719,2.760080532,0.810716369,1.263410365,0.79442567,0.936222935,1.037595133,0.735586998,-0.01124134,-0.023755461,-0.008365958,-0.341824827,-0.413749168,-0.45742852,-0.446131743,-0.307575359,-0.287956356,-0.366598125,-0.295863971,-0.178573252,-0.359495344,-0.314704533,-0.210390873,-0.176717074,-0.178817917,-0.261985,-0.301628621,-0.31514361,-0.247678618,-0.215479051,-0.370376768,-0.291947115,-0.326016223,-0.222743628,-0.276177408,-0.338552712
5,3,50,14,6,Skew,gls.model,0.998,1,0.171917257,1.002894727,0.293855737,0.180360721,0.043086172,0.017034068,0.031742146,0.052837322,0.03645024,1.478205522,0.83550272,0.854439704,0.924316798,3.248355318,0.88700129,1.184894134,1.171722503,1.11053058,1.146805937,1.077721965,-0.000885291,-0.008584319,0.001917097,0.005847213,-0.025246469,-0.053670624,-0.022373858,-0.111567632,-0.031312416,-0.039457289,-0.014453751,-0.050425702,-0.067515686,-0.033637375,-0.071626179,-0.051956355,-0.053553946,-0.570868434,-0.627539026,-0.612254679,-0.429947945,-0.299142878,-0.687747844,-0.449010493,-0.696071997,-0.343467239,-0.520915713,-0.795600414
5,3,50,14,6,Skew,gls.s,1,1,0.155623787,0.949119857,0.251924323,0.131,0.04,0.019,0.031732548,0.052831023,0.03556319,1.418184084,0.840700061,0.82742904,0.986671628,2.488581381,0.864981918,1.244971787,1.198293576,0.953891712,1.263986214,1.079859838,-0.000650501,-0.008457106,0.002248125,-0.150564488,-0.138032442,-0.201848671,-0.218259404,-0.020561371,-0.114082443,-0.252199728,-0.136648673,-0.046939321,-0.241556938,-0.138078201,-0.096202416,-0.06855491,-0.058352256,-0.48052589,-0.591235357,-0.520660687,-0.330390846,-0.187484951,-0.65961371,-0.318346776,-0.673255418,-0.2527453,-0.468475261,-0.77999542
5,3,50,14,6,Skew,ls,1,1,18219.96242,1.939786108,0.975426954,1,0.154,0.049,0.031853355,0.052593209,0.036371008,1.529176864,1.39360244,3.003918184,3.609070599,9.61116746,0.913328738,1.235089393,1.179680847,1.814287398,1.675565321,1.071300692,-3.80E-05,-0.001829926,0.000201677,0.000746809,0.019124504,-0.148975575,-0.015211582,0.112591107,-0.031676763,-0.04808385,-0.014399084,-0.064163982,-0.053946429,-0.036824255,-0.915623182,-0.848296674,-0.947548918,-0.989066403,-0.995153858,-0.997038731,-0.998063629,-0.998435206,-0.995551489,-0.987880118,-0.997595444,-0.990837871,-0.995688235,-0.9991976
5,3,50,14,6,Skew,wls,1,0,0.149702492,0.931582954,0.266689616,0.087,0.087,0.087,0.033368219,0.057267717,0.03586184,1.245079052,0.963003765,1.128740043,1.240802719,2.760080532,0.810716369,1.263410365,0.79442567,0.936222935,1.037595133,0.735586998,-0.01124134,-0.023755461,-0.008365958,-0.341824827,-0.413749168,-0.45742852,-0.446131743,-0.307575359,-0.287956356,-0.366598125,-0.295863971,-0.178573252,-0.359495344,-0.314704533,-0.210390873,-0.176717074,-0.178817917,-0.261985,-0.301628621,-0.31514361,-0.247678618,-0.215479051,-0.370376768,-0.291947115,-0.326016223,-0.222743628,-0.276177408,-0.338552712
5,3,50,14,6,Skew,fites,1,NA,0.049797773,1.02501791,0.312643781,0.206,0.066,0.038,0.031738645,0.052845685,0.036405783,1.48957306,0.842316621,0.878942731,0.941317027,3.399074342,0.895279431,1.188998616,1.175305797,1.199986853,1.141791504,1.076674639,-0.000833977,-0.008607787,0.001928689,0.041811633,-0.004976318,-0.02628907,0.008192676,-0.108027367,-0.037273588,-0.015756335,-0.018068421,-0.07980248,-0.053620135,-0.033369509,-0.080784565,-0.061401586,-0.061310655,-0.436607541,-0.379966479,-0.370421792,-0.236788041,-0.220170245,-0.446768085,-0.309931956,-0.566052545,-0.213205955,-0.390153045,-0.603450443
5,3,50,14,6,Skew,fiteu,1,NA,0.049797773,1.02501791,0.362488944,0.206,0.08,0.04,0.031738645,0.052845685,0.036405783,1.48957306,0.842316621,0.878942731,0.941317027,3.399074342,0.895279431,1.188998616,1.175305797,1.199986853,1.141791504,1.076674639,-0.000833977,-0.008607787,0.001928689,0.041811633,-0.004976318,-0.02628907,0.008192676,-0.108027367,-0.037273588,-0.015756335,-0.018068421,-0.07980248,-0.053620135,-0.033369509,-0.105172426,-0.077591515,-0.089641069,-0.485464637,-0.434306602,-0.44534222,-0.328251367,-0.276390657,-0.492100336,-0.380529759,-0.603781735,-0.26298046,-0.453856147,-0.639436285
5,3,50,14,6,Skew,fitos,1,NA,0.049797773,1.02501791,0.209287193,0.206,0.193,0.122,0.031738645,0.052845685,0.036405783,1.48957306,0.842316621,0.878942731,0.941317027,3.399074342,0.895279431,1.188998616,1.175305797,1.199986853,1.141791504,1.076674639,-0.000833977,-0.008607787,0.001928689,0.041811633,-0.004976318,-0.02628907,0.008192676,-0.108027367,-0.037273588,-0.015756335,-0.018068421,-0.07980248,-0.053620135,-0.033369509,-0.047847323,-0.037882631,-0.022117667,-0.338280183,-0.269796953,-0.198654802,-0.030307742,-0.079081143,-0.362516975,-0.159155092,-0.487963631,-0.095292966,-0.260816495,-0.54030709
5,3,100,14,6,Norm,gammaN.model,1,0.78,0.06299189,0.370273952,0.033922926,0.057,0.057,0.049,0.021612917,0.039003603,0.025495778,0.507708147,0.230884222,0.239217339,0.43420297,1.593128624,0.202338389,0.499234016,0.267787975,0.554404274,0.413111201,0.155705873,-6.57E-05,0.001729897,-0.000222449,-0.012100413,-0.012467593,-0.026507947,-0.039437886,0.059532316,-0.012616788,-0.009011691,-0.010151798,0.000193094,-0.015091316,-0.015049802,0.005245628,-0.056590477,-0.002290692,-0.031402012,-0.021602714,-0.006747551,-0.071851378,-0.066102052,-0.041559923,-0.027062791,-0.034574478,-0.035133884,-0.050056401,-0.024700981
5,3,100,14,6,Norm,gammaN.s,1,1,0.060803833,0.366992783,0.020495593,0.048,0.053,0.048,0.021709644,0.039112827,0.025713502,0.514195097,0.235330134,0.246820527,0.452452901,1.480593108,0.203601448,0.518043077,0.27607729,0.528733691,0.430985122,0.164530599,-0.000138142,0.001793409,-0.00021171,-0.053387703,-0.042343439,-0.060322205,-0.09243289,0.086747396,-0.028534522,-0.061299878,-0.040567172,0.010324109,-0.062266338,-0.039837384,0.006884945,-0.052752039,-0.004830842,0.035536223,0.0330763,0.056034698,-0.011216854,0.006916922,0.002912159,0.025301912,0.003591736,0.030749608,-0.010037461,0.007096611
5,3,100,14,6,Norm,ridgeI,1,0.99,4.546912481,0.378724379,0.061299133,1,0.084,0.068,0.021975878,0.039533485,0.025890718,0.529281179,0.245776697,0.251029228,0.459049959,1.551909377,0.211652255,0.52911067,0.282530354,0.544791006,0.442234581,0.167375915,-5.64E-05,0.001369366,-0.000220899,-0.049249535,-0.038555662,-0.053806169,-0.083329107,0.073894589,-0.027644837,-0.058353846,-0.037768675,0.00861607,-0.060643721,-0.039759863,-0.025412551,-0.079594262,-0.03315568,-0.051540946,-0.06928453,-0.031159514,-0.089483935,-0.07244109,-0.08445932,-0.047073826,-0.075237175,-0.045553153,-0.083092358,-0.07069953
