p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.beta1,RMSE.beta2,RMSE.gamma1,RMSE.gamma2,RMSE.gamma3,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.beta1,BIAS.beta2,BIAS.gamma1,BIAS.gamma2,BIAS.gamma3,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.beta1,SE BIAS.beta2,SE BIAS.gamma1,SE BIAS.gamma2,SE BIAS.gamma3,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
3,2,500,24,11,Norm,fites,1,NA,0.193643391,0.130685779,0.022508735,0.042,0.049,0.044,0.009666371,0.013951391,0.078616529,0.047076741,0.156267598,0.068177996,0.064195802,0.247668448,0.159191645,0.403377856,0.089844031,0.187435079,0.173445635,0.000583673,-0.00024372,-0.002547376,0.000518988,-0.002378739,-0.000145525,-0.000332894,-0.006692071,-0.004188849,-0.013831625,-0.002920509,-0.001540092,-0.004072421,0.015829004,-0.021290131,0.041856001,-0.037603754,-0.024274141,0.011203976,-0.005591168,0.002011211,0.008015824,-0.011241469,-0.035313184,-0.053384449,0.024999236
3,2,500,24,11,Norm,fiteu,1,NA,0.193643391,0.130685779,0.022542238,0.042,0.05,0.045,0.009666371,0.013951391,0.078616529,0.047076741,0.156267598,0.068177996,0.064195802,0.247668448,0.159191645,0.403377856,0.089844031,0.187435079,0.173445635,0.000583673,-0.00024372,-0.002547376,0.000518988,-0.002378739,-0.000145525,-0.000332894,-0.006692071,-0.004188849,-0.013831625,-0.002920509,-0.001540092,-0.004072421,0.015827716,-0.021295332,0.036497285,-0.041841313,-0.024720473,0.009537005,-0.006500891,-0.000375882,0.005150329,-0.013773773,-0.039192672,-0.056073195,0.022263223
3,2,500,24,11,Norm,fitos,1,NA,0.193643391,0.130685779,0.022587538,0.042,0.06,0.055,0.009666371,0.013951391,0.078616529,0.047076741,0.156267598,0.068177996,0.064195802,0.247668448,0.159191645,0.403377856,0.089844031,0.187435079,0.173445635,0.000583673,-0.00024372,-0.002547376,0.000518988,-0.002378739,-0.000145525,-0.000332894,-0.006692071,-0.004188849,-0.013831625,-0.002920509,-0.001540092,-0.004072421,0.015872499,-0.021245444,0.058036893,-0.025138124,-0.017104061,0.021933636,0.001989839,0.009396739,0.017505386,-0.003505973,-0.023238152,-0.045218475,0.033452773
3,2,500,24,11,Elliptical,gammaN.model,1,0.77,0.034108896,0.183325617,0.03653672,0.315,0.034,0.028,0.009438157,0.013457536,0.112468857,0.062947423,0.209241213,0.092279601,0.087906968,0.35094033,0.23207948,0.561403265,0.136838595,0.265368538,0.248863059,0.000749426,-0.000238006,-0.003749369,-0.001235871,0.003370273,0.002306996,-0.000540721,-0.056481466,-0.0490155,-0.070067885,-0.047732012,-0.04934585,-0.04957141,0.004993964,-0.02207215,-0.041446065,-0.046294335,-0.039859351,-0.013167069,-0.047194347,-0.036398129,-0.043143041,-0.036174056,-0.045640851,-0.078137894,-0.020456111
3,2,500,24,11,Elliptical,gammaN.s,1,0.73,0.030748272,0.185088828,0.035751913,0.199,0.03,0.022,0.009432677,0.013452673,0.114914086,0.063511757,0.209395038,0.09242244,0.087949087,0.353131455,0.236843104,0.559033673,0.143717835,0.270354482,0.251996458,0.000739801,-0.000241716,-0.004129944,-0.000982099,0.00308537,0.002549111,-0.000738786,-0.065983576,-0.061177478,-0.075205697,-0.059919125,-0.064815387,-0.060938596,0.0047257,-0.022552715,-0.054483132,-0.047333116,-0.031405117,-0.007146779,-0.039115357,-0.034320944,-0.045062376,-0.032704861,-0.054312038,-0.07453414,-0.017078589
3,2,500,24,11,Elliptical,ridgeI,1,0.78,0.08605655,0.191210721,0.049648876,0.949,0.036,0.033,0.009507032,0.013464426,0.114904217,0.063149725,0.212555477,0.093189326,0.088466757,0.364899057,0.248573732,0.575240488,0.157849087,0.280233137,0.263706906,0.000726879,-0.000233332,-0.006608274,-0.003714992,0.000710278,0.005368263,0.001559433,-0.088444256,-0.082613191,-0.095247956,-0.082138197,-0.083929617,-0.081020044,-0.014274719,-0.028024386,-0.059468538,-0.042845558,-0.050708635,-0.023827227,-0.048052902,-0.055690241,-0.063832586,-0.052000241,-0.070428942,-0.094078162,-0.042203251
3,2,500,24,11,Elliptical,ridgeD,1,0,0.022270163,0.192900348,0.054134749,0.037,0.037,0.037,0.009521743,0.01341941,0.115658076,0.063508033,0.214433084,0.094400148,0.08858949,0.369970032,0.250029852,0.57512475,0.162195434,0.285425703,0.265428768,0.000733839,-0.000258403,-0.002659095,-0.000817443,-0.002165756,0.003060701,0.000490666,-0.097909428,-0.088568612,-0.106827475,-0.086855173,-0.093796542,-0.086392412,-0.018256586,-0.032544624,-0.066638011,-0.052271002,-0.053319864,-0.035281836,-0.05182974,-0.058293178,-0.064283175,-0.052292029,-0.079382113,-0.095297867,-0.04406171
3,2,500,24,11,Elliptical,gls.model,1,1,0.046958896,0.211253373,0.32365024,0.558,0.028,0.018,0.009621333,0.013785109,0.125357962,0.072992825,0.229032026,0.106215155,0.098420972,0.412641218,0.276250275,0.667657171,0.158860645,0.290260724,0.285198434,0.000775671,-0.000253554,-0.004476292,0.000361637,0.012052701,0.000501165,-0.002806633,-0.023814189,-0.006384408,-0.042268697,-0.002318182,-0.004150922,-0.007198385,0.019231892,-0.015483374,-0.343489947,-0.378285887,-0.344668387,-0.349577725,-0.351924958,-0.387605564,-0.417829438,-0.384082769,-0.45245911,-0.388418274,-0.374395798
3,2,500,24,11,Elliptical,gls.s,1,1,0.045273335,0.203466433,0.295264935,0.533,0.028,0.016,0.009627554,0.013789504,0.12443372,0.070800009,0.228203028,0.104823751,0.097588535,0.395930065,0.262025014,0.626895235,0.150132646,0.286353643,0.274460928,0.000773237,-0.000248141,-0.005666731,6.35E-05,0.011823435,0.001109508,-0.003042925,-0.040075843,-0.031044726,-0.048519177,-0.028354637,-0.035380744,-0.031541832,0.018775159,-0.015591756,-0.321929174,-0.342335607,-0.3258872,-0.326142706,-0.329870872,-0.352163325,-0.37065408,-0.34304593,-0.399541596,-0.359011726,-0.33349502
3,2,500,24,11,Elliptical,ls,0.977,1,11.42401662,0.658309829,0.898031034,1,0.154554759,0.060388946,0.009789942,0.014848868,0.129830337,0.078971481,1.048685089,1.374786887,1.149246151,0.516113131,0.991700146,2.337700325,0.159433459,0.360068045,0.386853915,0.000736285,-0.000260693,-0.005251802,-0.00010437,0.182974061,0.299116667,0.319994042,-0.041194614,-0.133127137,-0.311486902,-0.012536709,-0.018782348,-0.045139898,-0.686956802,-0.462194567,-0.908050111,-0.851927262,-0.984858037,-0.984589034,-0.980533564,-0.9847668,-0.982164845,-0.978635661,-0.96810128,-0.952107538,-0.949517948
