p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.psi44,RMSE.psi55,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.psi44,BIAS.psi55,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.psi44,SE BIAS.psi55,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
5,2,300,10,10,Elliptical,ridgeI,1,0.99,2.529017397,0.179570169,0.088105001,1,0.066,0.053,0.012283482,0.01507267,0.250051947,0.199785132,0.198284846,0.225043558,0.291916912,0.186538387,0.238088879,0.178635882,0.000468251,5.89E-05,-0.107708694,-0.103316091,-0.10843491,-0.111471453,-0.090928966,-0.098979853,-0.107798465,-0.097994251,-0.050911387,-0.054620329,-0.076856327,-0.095812734,-0.113475243,-0.094238213,-0.065480006,-0.132364307,-0.090441891,-0.106849577
5,2,300,10,10,Elliptical,ridgeD,1,0,0.035541024,0.185641131,0.097987937,0.052,0.052,0.052,0.012347951,0.01521863,0.259962348,0.209861821,0.20761994,0.233787284,0.298105661,0.191926789,0.24326512,0.184315769,0.000445174,6.15E-05,-0.119066531,-0.114260953,-0.119053165,-0.121457141,-0.102002755,-0.105803631,-0.113804919,-0.104163668,-0.061234715,-0.068986713,-0.09042006,-0.110219881,-0.121503676,-0.1052182,-0.072634869,-0.135304827,-0.098415533,-0.115940894
5,2,300,10,10,Elliptical,gls.model,1,1,0.064415665,0.180545862,0.117504381,0.421,0.048,0.028,0.012909885,0.015780949,0.259927444,0.195134258,0.176413172,0.225664091,0.317718632,0.173689966,0.248079541,0.180140685,0.000697555,0.000111262,-0.00335461,0.003143779,-0.003378298,-0.007484144,0.00910784,0.001702883,0.008100462,0.004807989,-0.04252958,-0.041905668,-0.418947056,-0.444497193,-0.424046945,-0.43616735,-0.389321883,-0.454664842,-0.441649466,-0.499342936
5,2,300,10,10,Elliptical,gls.s,1,1,0.059958543,0.171339169,0.079296718,0.395,0.041,0.029,0.012845981,0.015724273,0.248473691,0.181909263,0.17471198,0.217199671,0.308267739,0.167907539,0.226700243,0.159651315,0.000610161,0.000145172,-0.04689734,-0.04658673,-0.048836423,-0.057922309,-0.02884394,-0.037309254,-0.047312685,-0.035071865,-0.047912227,-0.048304223,-0.359606931,-0.361436656,-0.374498197,-0.368334918,-0.350931075,-0.407181719,-0.351628505,-0.406925022
5,2,300,10,10,Elliptical,ls,1,1,726.3073088,0.367453103,0.983629145,1,0.127,0.036,0.012880053,0.015799234,0.387018536,0.459081139,0.604701066,0.635742836,0.932019112,0.175906434,0.260652083,0.190730532,0.000693462,0.000122017,-0.005765268,0.006606113,0.005355831,-0.020164388,0.011596012,0.00136213,0.007511308,0.005219779,-0.930423344,-0.942158296,-0.990891623,-0.99427919,-0.995996204,-0.995754243,-0.996282818,-0.99626232,-0.996427836,-0.997815576
5,2,300,10,10,Elliptical,wls,1,0,0.035541024,0.185641131,0.097987937,0.052,0.052,0.052,0.012347951,0.01521863,0.259962348,0.209861821,0.20761994,0.233787284,0.298105661,0.191926789,0.24326512,0.184315769,0.000445174,6.15E-05,-0.119066531,-0.114260953,-0.119053165,-0.121457141,-0.102002755,-0.105803631,-0.113804919,-0.104163668,-0.061234715,-0.068986713,-0.09042006,-0.110219881,-0.121503676,-0.1052182,-0.072634869,-0.135304827,-0.098415533,-0.115940894
5,2,300,10,10,Elliptical,fites,1,NA,0.054962191,0.180532189,0.120361584,0.426,0.051,0.029,0.012909608,0.015779278,0.259941846,0.195351585,0.176198304,0.225707215,0.317657205,0.173698325,0.24801167,0.180066848,0.000697226,0.000113608,0.00042544,0.006448241,-3.74E-05,-0.004328848,0.012470665,0.00117322,0.008833864,0.004456565,-0.044106419,-0.043407121,-0.137826853,-0.143301883,-0.10523084,-0.153638901,-0.111689095,-0.140314913,-0.14162005,-0.18247977
5,2,300,10,10,Elliptical,fiteu,1,NA,0.054962191,0.180532189,0.170859932,0.426,0.064,0.039,0.012909608,0.015779278,0.259941846,0.195351585,0.176198304,0.225707215,0.317657205,0.173698325,0.24801167,0.180066848,0.000697226,0.000113608,0.00042544,0.006448241,-3.74E-05,-0.004328848,0.012470665,0.00117322,0.008833864,0.004456565,-0.053954601,-0.05318966,-0.184700874,-0.207282715,-0.170700942,-0.216595108,-0.148846642,-0.204079647,-0.219195326,-0.250053806
5,2,300,10,10,Elliptical,fitos,1,NA,0.054962191,0.180532189,0.035595784,0.426,0.058,0.028,0.012909608,0.015779278,0.259941846,0.195351585,0.176198304,0.225707215,0.317657205,0.173698325,0.24801167,0.180066848,0.000697226,0.000113608,0.00042544,0.006448241,-3.74E-05,-0.004328848,0.012470665,0.00117322,0.008833864,0.004456565,-0.021522444,-0.020730255,-0.062374882,-0.028407831,0.007627158,-0.04728394,-0.042540647,-0.035168725,-0.01419851,-0.076103444
5,2,300,10,10,Skew,gammaN.model,1,0.81,0.046173697,0.238451871,0.120352031,0.211,0.044,0.032,0.012737633,0.015082745,0.31441343,0.285715311,0.279644224,0.303595666,0.339785722,0.29173109,0.272127457,0.269685432,-0.002200901,-0.001225641,-0.08925173,-0.090049574,-0.091232869,-0.106897115,-0.072088495,-0.077247552,-0.076562157,-0.069023576,-0.07469816,-0.051587614,-0.095984002,-0.135615904,-0.145870163,-0.128085339,-0.067831762,-0.189535979,-0.142717655,-0.171593732
5,2,300,10,10,Skew,gammaN.s,1,0.76,0.040227198,0.246006133,0.121108964,0.108,0.043,0.031,0.012719912,0.015046235,0.323625816,0.29722429,0.288141849,0.316457188,0.343332513,0.29969732,0.286272459,0.277543747,-0.002238365,-0.001157606,-0.110931678,-0.111378899,-0.111979289,-0.129541791,-0.090327069,-0.093841399,-0.100908858,-0.086647856,-0.076632487,-0.054032318,-0.09061239,-0.141498429,-0.141879761,-0.131135499,-0.061286193,-0.192450795,-0.148710149,-0.17285162
5,2,300,10,10,Skew,ridgeI,1,0.99,2.498700874,0.280369723,0.130872936,1,0.073,0.056,0.013427798,0.015556336,0.365754478,0.346198357,0.345393454,0.371609119,0.368368141,0.329609132,0.326655787,0.321124625,-0.005241381,-0.004365506,-0.16693436,-0.178258722,-0.183658483,-0.18956973,-0.142896629,-0.15772274,-0.162957626,-0.150787846,-0.088743121,-0.073769962,-0.113816491,-0.137464858,-0.144517122,-0.156613131,-0.067585042,-0.171756844,-0.153421538,-0.201041246
5,2,300,10,10,Skew,ridgeD,1,0.01,0.019188376,0.278513118,0.141743641,0.001,0.073,0.055,0.013044232,0.015185415,0.329142432,0.29515741,0.314107438,0.371940058,0.512617687,0.331203822,0.309552221,0.293180465,-0.003329491,-0.002000978,-0.13089008,-0.12507323,-0.130129388,-0.129286162,-0.093592753,-0.10741367,-0.109082081,-0.08731395,-0.093889658,-0.062841097,-0.082316823,-0.158787368,-0.136194425,-0.094405146,-0.099056245,-0.264171521,-0.211474925,-0.214299204
5,2,300,10,10,Skew,gls.model,1,1,0.060106104,0.294270187,0.187935782,0.346,0.051,0.022,0.01282375,0.015366716,0.380087763,0.36174361,0.473706189,0.349151926,0.416890712,0.333910171,0.312451607,0.286569427,-0.000284554,0.00062914,-0.02391381,0.0010541,0.013331018,-0.024027876,-0.001610732,-0.003988752,-0.000776871,-0.005148154,-0.047571626,-0.026695094,-0.604730113,-0.703424875,-0.787784757,-0.636444695,-0.541776239,-0.717649674,-0.560942215,-0.68615731
5,2,300,10,10,Skew,gls.s,1,1,0.055462585,0.276142516,0.154364138,0.332,0.046,0.019,0.012792778,0.015289073,0.371753546,0.339256628,0.391013209,0.341883265,0.373679389,0.324075526,0.305830515,0.285851235,-0.000202625,0.000724206,-0.06132169,-0.046820023,-0.038206589,-0.067439602,-0.040575498,-0.040827593,-0.050280629,-0.039210191,-0.05448645,-0.030248714,-0.57889896,-0.670588299,-0.733840368,-0.609554458,-0.470834032,-0.7002873,-0.529725844,-0.67592213
5,2,300,10,10,Skew,ls,1,1,705.9281204,0.442998331,0.984164734,1,0.12,0.025,0.012782034,0.015376457,0.526866914,0.545873759,0.715964597,0.712161803,0.942043744,0.346887877,0.319265461,0.292760665,0.000440341,0.000645444,-0.026045988,-0.005803679,0.013555106,-0.019151028,0.005570121,-0.003402805,-0.001802456,-0.00496085,-0.929932079,-0.94054846,-0.993161927,-0.995128949,-0.99664531,-0.996214313,-0.996300551,-0.99809553,-0.997057589,-0.998562634
5,2,300,10,10,Skew,wls,1,0,0.036137011,0.289662646,0.139641534,0.069,0.069,0.069,0.013744737,0.015648473,0.396492846,0.343833446,0.347636398,0.373688744,0.400984555,0.336850112,0.335187422,0.332559729,-0.006029716,-0.004658366,-0.20739318,-0.201032156,-0.208310268,-0.215028889,-0.183581692,-0.166929585,-0.171331381,-0.161307936,-0.094300205,-0.081103879,-0.118098555,-0.136486562,-0.170403039,-0.150091596,-0.100510429,-0.173081861,-0.161077579,-0.211261637
5,2,300,10,10,Skew,fites,1,NA,0.054962191,0.294452033,0.190911388,0.354,0.053,0.021,0.012823011,0.015365913,0.380854878,0.361603503,0.474785067,0.349258603,0.416826957,0.334092354,0.312263256,0.286646792,-0.000281347,0.000634422,-0.020595312,0.004272455,0.016905888,-0.020567961,0.001526729,-0.00444537,-0.000195715,-0.005448701,-0.049115109,-0.028258154,-0.202441109,-0.239182326,-0.42039963,-0.183383468,-0.16478061,-0.241173368,-0.199913141,-0.180466963
5,2,300,10,10,Skew,fiteu,1,NA,0.054962191,0.294452033,0.225524988,0.354,0.063,0.027,0.012823011,0.015365913,0.380854878,0.361603503,0.474785067,0.349258603,0.416826957,0.334092354,0.312263256,0.286646792,-0.000281347,0.000634422,-0.020595312,0.004272455,0.016905888,-0.020567961,0.001526729,-0.00444537,-0.000195715,-0.005448701,-0.058106326,-0.036880803,-0.231617066,-0.287108194,-0.462581677,-0.225415723,-0.208643436,-0.280899524,-0.250584389,-0.213412741
5,2,300,10,10,Skew,fitos,1,NA,0.054962191,0.294452033,0.13536432,0.354,0.062,0.024,0.012823011,0.015365913,0.380854878,0.361603503,0.474785067,0.349258603,0.416826957,0.334092354,0.312263256,0.286646792,-0.000281347,0.000634422,-0.020595312,0.004272455,0.016905888,-0.020567961,0.001526729,-0.00444537,-0.000195715,-0.005448701,-0.031836481,-0.010545265,-0.155217697,-0.159521945,-0.342004531,-0.121409695,-0.092261936,-0.186143141,-0.120395791,-0.134306714
5,2,500,10,10,Norm,gammaN.model,1,1,0.020223816,0.080492141,0.022042071,0.055,0.053,0.052,0.009486985,0.010998766,0.117792128,0.085078408,0.082030223,0.100000144,0.153709603,0.073996339,0.103686713,0.068142102,0.000418724,-0.000357809,-0.003831076,-0.003169197,-0.001478244,-0.006323072,0.002756526,-0.003766555,-0.003011993,-0.004564019,0.009329746,0.064406678,-0.00247601,-0.007336258,-0.038666931,-0.010839642,-0.013140929,-0.005436259,0.039601986,0.02918627
5,2,500,10,10,Norm,gammaN.s,1,1,0.02018449,0.081789558,0.018574574,0.056,0.054,0.053,0.009506746,0.011078091,0.118536631,0.086928808,0.084115092,0.102332798,0.153418523,0.075216574,0.106646435,0.070115882,0.000417682,-0.000358608,-0.015366875,-0.016539764,-0.014078919,-0.019201222,-0.006897041,-0.013512838,-0.017567634,-0.014884641,0.004666574,0.053995973,0.007959588,-0.00167866,-0.041449393,-0.008674845,-0.003879987,-0.000768031,0.034567073,0.028105622
5,2,500,10,10,Norm,ridgeI,1,0.99,1.477467663,0.082609675,0.025883757,1,0.081,0.058,0.0095661,0.011237527,0.120509726,0.08740996,0.085018414,0.102448601,0.154458663,0.076304901,0.108403364,0.070739492,0.000460244,-0.000305172,-0.014723305,-0.014914099,-0.013250605,-0.017843512,-0.00650818,-0.013791195,-0.018159542,-0.014848699,-0.009013401,0.030849898,-0.027515114,-0.02746853,-0.068009726,-0.03155946,-0.027160878,-0.029907876,0.00494826,0.002404425
5,2,500,10,10,Norm,ridgeD,1,0,0.020818786,0.083229277,0.030935988,0.067,0.067,0.067,0.009600486,0.011315703,0.121626923,0.088364278,0.085516723,0.103314088,0.15599122,0.076584117,0.108950055,0.071029175,0.00046117,-0.000291019,-0.015886968,-0.016429466,-0.013908411,-0.018246432,-0.007620374,-0.013870271,-0.018087867,-0.014955752,-0.014465979,0.021601509,-0.037908616,-0.037341592,-0.074860458,-0.042490607,-0.039495704,-0.035270602,-0.002430101,-0.003494713
5,2,500,10,10,Norm,gls.model,1,1,0.020223816,0.080492141,0.023752478,0.055,0.053,0.052,0.009486985,0.010998766,0.117792128,0.085078408,0.082030223,0.100000144,0.153709603,0.073996339,0.103686713,0.068142102,0.000418724,-0.000357809,-0.003831076,-0.003169197,-0.001478244,-0.006323072,0.002756526,-0.003766555,-0.003011993,-0.004564019,0.009329746,0.064406678,-0.00247601,-0.007336258,-0.038666931,-0.010839642,-0.013140929,-0.005436259,0.039601986,0.02918627
5,2,500,10,10,Norm,gls.s,1,1,0.02018449,0.081789558,0.019077055,0.056,0.054,0.053,0.009506746,0.011078091,0.118536631,0.086928808,0.084115092,0.102332798,0.153418523,0.075216574,0.106646435,0.070115882,0.000417682,-0.000358608,-0.015366875,-0.016539764,-0.014078919,-0.019201222,-0.006897041,-0.013512838,-0.017567634,-0.014884641,0.004666574,0.053995973,0.007959588,-0.00167866,-0.041449393,-0.008674845,-0.003879987,-0.000768031,0.034567073,0.028105622
5,2,500,10,10,Norm,ls,1,1,159.0007973,0.167330337,0.979917227,1,0.137,0.052,0.009472737,0.011013791,0.1747091,0.209184354,0.280894929,0.305799463,0.428351209,0.07512284,0.107955473,0.070799477,0.000421029,-0.000354469,-0.000372576,-0.007026941,-0.013321977,0.009889052,0.001710503,-0.003965559,-0.002739956,-0.004773046,-0.92678352,-0.935709794,-0.984467349,-0.990143346,-0.993194127,-0.993370819,-0.993677927,-0.993179571,-0.993255686,-0.995390126
5,2,500,10,10,Norm,wls,1,0,0.020818786,0.083229277,0.030935988,0.067,0.067,0.067,0.009600486,0.011315703,0.121626923,0.088364278,0.085516723,0.103314088,0.15599122,0.076584117,0.108950055,0.071029175,0.00046117,-0.000291019,-0.015886968,-0.016429466,-0.013908411,-0.018246432,-0.007620374,-0.013870271,-0.018087867,-0.014955752,-0.014465979,0.021601509,-0.037908616,-0.037341592,-0.074860458,-0.042490607,-0.039495704,-0.035270602,-0.002430101,-0.003494713
5,2,500,10,10,Norm,fites,1,NA,0.054962191,0.080450752,0.024611136,0.055,0.055,0.051,0.009487064,0.01099847,0.117836508,0.084978238,0.08185473,0.099700505,0.153818013,0.07403232,0.103628256,0.068173413,0.000418683,-0.000357263,-0.001643659,-0.001074463,0.000442768,-0.004363574,0.004868569,-0.004083457,-0.002582556,-0.004777525,0.008311673,0.063366718,-0.011763431,-0.011560821,-0.039744761,-0.016735239,-0.02124238,-0.009410229,0.038542563,0.02543354
5,2,500,10,10,Norm,fiteu,1,NA,0.054962191,0.080450752,0.025275069,0.055,0.057,0.053,0.009487064,0.01099847,0.117836508,0.084978238,0.08185473,0.099700505,0.153818013,0.07403232,0.103628256,0.068173413,0.000418683,-0.000357263,-0.001643659,-0.001074463,0.000442768,-0.004363574,0.004868569,-0.004083457,-0.002582556,-0.004777525,0.005751316,0.060566403,-0.014515153,-0.015855105,-0.044320584,-0.020797344,-0.023970432,-0.013413493,0.03273197,0.020828888
