p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
3,2,100,8,1,Skew,wls,1,0,0.010688142,0.618060932,0.147900184,0.055,0.055,0.055,0.023042712,0.028737711,0.906646433,0.622945404,1.45564596,0.531530788,0.649499266,0.726439182,-0.001045431,-0.000932024,-0.129522992,-0.071063371,-0.183469785,-0.041628264,-0.063902526,0.011815948,-0.088220673,0.029144896,-0.103356503,-0.190590386,-0.110891772,-0.264963562,-0.156329644,-0.239704034
3,2,100,8,1,Skew,fites,0.994,NA,0.054962191,0.671282183,0.185336577,0.055331992,0.058350101,0.058350101,0.023097702,0.028786533,1.028889449,0.763237822,1.558918493,0.551310843,0.67944269,0.736573931,-0.001080773,-0.00088835,-0.05353027,0.047897218,-0.114720942,-0.034866323,-0.042129933,0.019131768,-0.094992184,0.022068825,-0.21569732,-0.297498429,-0.177404326,-0.278104845,-0.179946415,-0.216980269
3,2,100,8,1,Skew,fiteu,0.994,NA,0.054962191,0.671282183,0.185336577,0.055331992,0.055331992,0.055331992,0.023097702,0.028786533,1.028889449,0.763237822,1.558918493,0.551310843,0.67944269,0.736573931,-0.001080773,-0.00088835,-0.05353027,0.047897218,-0.114720942,-0.034866323,-0.042129933,0.019131768,-0.094992184,0.022068825,-0.21569732,-0.297498429,-0.177404326,-0.278104845,-0.179946415,-0.216980269
3,2,100,8,1,Skew,fitos,0.994,NA,0.054962191,0.671282183,0.183103516,0.055331992,0.065392354,0.065392354,0.023097702,0.028786533,1.028889449,0.763237822,1.558918493,0.551310843,0.67944269,0.736573931,-0.001080773,-0.00088835,-0.05353027,0.047897218,-0.114720942,-0.034866323,-0.042129933,0.019131768,-0.094992184,0.022068825,-0.211423945,-0.291032252,-0.173921392,-0.277567516,-0.178156973,-0.215665037
3,2,200,8,1,Norm,gammaN.model,1,1,0.004771695,0.254587623,0.017325322,0.059,0.059,0.059,0.015575779,0.021951066,0.384397345,0.270327856,0.629917265,0.139657951,0.284399645,0.290474078,0.000303389,0.000667339,0.010451664,-0.02011326,0.026112133,-0.005536004,0.004420374,-0.00585448,-0.005517565,-0.014738596,0.01134757,-0.039965894,-0.028101121,-0.009195041,-0.008835523,-0.020901265
3,2,200,8,1,Norm,gammaN.s,1,1,0.004771695,0.254587623,0.017325322,0.059,0.059,0.059,0.015575779,0.021951066,0.384397345,0.270327856,0.629917265,0.139657951,0.284399645,0.290474078,0.000303389,0.000667339,0.010451664,-0.02011326,0.026112133,-0.005536004,0.004420374,-0.00585448,-0.005517565,-0.014738596,0.01134757,-0.039965894,-0.028101121,-0.009195041,-0.008835523,-0.020901265
3,2,200,8,1,Norm,ridgeI,1,1,0.117237587,0.254575777,0.965389836,0.685,0.059,0.059,0.015526974,0.021905102,0.384397345,0.270327856,0.629917265,0.139657951,0.284399645,0.290474078,0.000276792,0.000720211,0.010451664,-0.02011326,0.026112133,-0.005536004,0.004420374,-0.00585448,-0.916697593,-0.88566274,-0.98212059,-0.986858325,-0.989250997,-0.988583532,-0.985967384,-0.987977529
3,2,200,8,1,Norm,ridgeD,1,1,0.000569398,0.254605048,1.793680067,0,0.059,0.059,0.01553808,0.022128161,0.384397345,0.270327856,0.629917265,0.139657951,0.284399645,0.290474078,0.000243266,0.000823979,0.010451664,-0.02011326,0.026112133,-0.005536004,0.004420374,-0.00585448,-0.035448519,0.633097151,2.655822206,2.64653268,2.720171307,1.396057322,2.159866365,2.102444988
3,2,200,8,1,Norm,gls.model,1,1,0.004771695,0.254587623,0.020824584,0.059,0.059,0.059,0.015575779,0.021951066,0.384397345,0.270327856,0.629917265,0.139657951,0.284399645,0.290474078,0.000303389,0.000667339,0.010451664,-0.02011326,0.026112133,-0.005536004,0.004420374,-0.00585448,-0.005517565,-0.014738596,0.01134757,-0.039965894,-0.028101121,-0.009195041,-0.008835523,-0.020901265
3,2,200,8,1,Norm,gls.s,1,1,0.004771695,0.254587623,0.020824584,0.059,0.059,0.059,0.015575779,0.021951066,0.384397345,0.270327856,0.629917265,0.139657951,0.284399645,0.290474078,0.000303389,0.000667339,0.010451664,-0.02011326,0.026112133,-0.005536004,0.004420374,-0.00585448,-0.005517565,-0.014738596,0.01134757,-0.039965894,-0.028101121,-0.009195041,-0.008835523,-0.020901265
