p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.psi44,RMSE.psi55,RMSE.psi66,RMSE.psi77,RMSE.psi88,RMSE.psi99,RMSE.psi1010,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.psi44,BIAS.psi55,BIAS.psi66,BIAS.psi77,BIAS.psi88,BIAS.psi99,BIAS.psi1010,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.psi44,SE BIAS.psi55,SE BIAS.psi66,SE BIAS.psi77,SE BIAS.psi88,SE BIAS.psi99,SE BIAS.psi1010,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
10,2,100,15,50,Norm,fitos,1,NA,0.054962191,0.157678372,0.153720385,0.083,0.058,0.006,0.021360925,0.025339046,0.197539831,0.188102908,0.167636054,0.16418678,0.159329972,0.16051595,0.165182055,0.177725556,0.190003315,0.216329141,0.158781631,0.228923592,0.14421883,0.00054511,0.000506244,0.000840471,0.000412292,-0.005087891,-0.006938248,0.004873828,-0.002800451,0.001616841,0.005599725,0.001974397,0.000845141,-0.009479373,-0.012273182,-0.010824913,0.006463562,0.022108801,0.201374393,0.134114723,0.196493307,0.17102487,0.179571677,0.184072241,0.175282379,0.156781753,0.175378339,0.156685838,0.147017957,0.206869603,0.192566334
10,2,100,15,50,Elliptical,gammaN.model,1,0.98,0.834491117,0.228993187,0.100265363,0.747,0.047,0,0.02053373,0.024408935,0.292526769,0.27800872,0.248373827,0.244067524,0.236166338,0.237490902,0.246094584,0.252561197,0.280069233,0.29871982,0.23501703,0.319406909,0.221452284,0.000541969,0.000390393,-0.073604066,-0.075883828,-0.083119542,-0.081176934,-0.074525009,-0.082628502,-0.072797329,-0.069026292,-0.074899633,-0.070210589,-0.070738773,-0.073250282,-0.071696391,-0.052060786,-0.036492119,-0.117315247,-0.147066873,-0.088971995,-0.117219923,-0.116512795,-0.088183668,-0.121089174,-0.107251701,-0.133543423,-0.093139771,-0.110189311,-0.071888949,-0.103054704
10,2,100,15,50,Elliptical,gammaN.s,1,1,0.719546709,0.40720111,0.247438301,0.59,0.021,0.001,0.021441219,0.025614035,0.477088525,0.468524098,0.473803566,0.475456838,0.476076412,0.477066472,0.462177316,0.459174442,0.484273605,0.482355271,0.413792889,0.495184311,0.415987653,0.000475241,0.000884822,-0.26394023,-0.270150301,-0.28311962,-0.288301185,-0.286689117,-0.288002819,-0.274723905,-0.269871263,-0.277353853,-0.264434271,-0.249802632,-0.255416684,-0.255258283,-0.109327634,-0.100422492,-0.257930644,-0.269949261,-0.254921855,-0.250571593,-0.282578123,-0.275130023,-0.290031423,-0.270156219,-0.257679776,-0.231668507,-0.288600676,-0.265705294,-0.306901001
10,2,100,15,50,Elliptical,ridgeI,1,0.99,54.29312005,0.647980676,0.39959691,1,0.788,0.73,0.020018335,0.024803926,0.746325501,0.72360892,0.726054743,0.744430474,0.720238109,0.74489995,0.724834128,0.721127386,0.71756828,0.732471722,0.758993469,0.840622981,0.773712212,0.000928989,0.001064786,-0.406933191,-0.401776886,-0.405723916,-0.413637436,-0.405055967,-0.414524169,-0.406387022,-0.402185232,-0.398845332,-0.398584603,-0.417332657,-0.431975444,-0.423941285,-0.36531268,-0.383094856,-0.382087157,-0.404577301,-0.39468201,-0.397104537,-0.410032597,-0.390190621,-0.392054329,-0.408075464,-0.39462586,-0.38916381,-0.432560151,-0.409860689,-0.44053159
10,2,100,15,50,Elliptical,ridgeD,1,0.01,0.19619151,0.510655622,0.241355489,0,0.314,0.162,0.019836143,0.023904946,0.449724263,0.405681565,0.395397162,0.429421312,0.459013466,0.544247076,0.660308858,0.768521464,0.879768142,1.099959797,0.461477743,0.597855603,0.464716787,0.000352452,0.000356097,-0.249221592,-0.228728931,-0.232165326,-0.232865101,-0.225223617,-0.22165551,-0.195491933,-0.179818025,-0.151081609,-0.171011378,-0.283069304,-0.328388518,-0.288638553,-0.197116304,-0.197064996,-0.208323497,-0.244905052,-0.218631711,-0.29213018,-0.238907498,-0.229806036,-0.260954412,-0.222839264,-0.19835417,-0.189657077,-0.315257594,-0.278043968,-0.328340578
10,2,100,15,50,Elliptical,gls.model,1,1,0.915297112,0.258558575,0.137243011,0.768,0.045,0,0.021411653,0.025407344,0.349287112,0.325226845,0.279935539,0.267756222,0.270919286,0.258563237,0.275197143,0.274971609,0.302189089,0.331790057,0.260926006,0.370237511,0.264559978,0.000687503,0.00027625,-0.01078295,-0.012166734,-0.024681309,-0.021171981,-0.014228354,-0.025697638,-0.014820624,-0.012514685,-0.022401852,-0.015258364,-0.010894929,-0.004613525,-0.01173469,-0.036661042,-0.019273388,-0.42436619,-0.445438154,-0.399203295,-0.400804176,-0.420851272,-0.387441645,-0.410543924,-0.376198542,-0.375608402,-0.357496903,-0.410212888,-0.381900346,-0.456365674
10,2,100,15,50,Elliptical,gls.s,1,1,0.719546709,0.40720111,0.140084832,0.59,0.021,0.001,0.021441219,0.025614035,0.477088525,0.468524098,0.473803566,0.475456838,0.476076412,0.477066472,0.462177316,0.459174442,0.484273605,0.482355271,0.413792889,0.495184311,0.415987653,0.000475241,0.000884822,-0.26394023,-0.270150301,-0.28311962,-0.288301185,-0.286689117,-0.288002819,-0.274723905,-0.269871263,-0.277353853,-0.264434271,-0.249802632,-0.255416684,-0.255258283,-0.109327634,-0.100422492,-0.257930644,-0.269949261,-0.254921855,-0.250571593,-0.282578123,-0.275130023,-0.290031423,-0.270156219,-0.257679776,-0.231668507,-0.288600676,-0.265705294,-0.306901001
10,2,100,15,50,Elliptical,ls,1,1,40190.02756,1.173360116,0.992486197,1,0.204,0.01,0.02136027,0.025428914,0.637783973,0.794843403,1.013068691,1.415332351,1.748427828,1.845548027,2.119866144,2.317778133,2.199750707,2.562239035,0.262918088,0.371362902,0.264693275,0.000636439,0.000301631,-0.01157808,0.027279589,-0.061676458,-0.057520156,-0.072824645,-0.051518262,-0.031217912,-0.010391337,0.074138281,0.060917169,-0.011737194,-0.003067206,-0.012515623,-0.94472864,-0.978258979,-0.992711189,-0.994698647,-0.995600526,-0.996925963,-0.997488963,-0.997675884,-0.998004963,-0.998180528,-0.99816813,-0.99830953,-0.997854936,-0.998978981,-0.999707101
10,2,100,15,50,Elliptical,wls,1,0,1.139012353,0.868591687,0.568572685,0.979,0.979,0.979,0.024050018,0.030657493,1.03169518,1.005833464,1.001488896,1.011434429,0.977179289,1.025387369,0.993268545,0.993738295,0.985511689,0.990472256,0.949783962,1.048352287,0.960022128,0.000858696,0.00106801,-0.486760516,-0.482295935,-0.485355137,-0.489063192,-0.480281788,-0.49381771,-0.483681153,-0.481918507,-0.477276152,-0.471651837,-0.471374213,-0.484651683,-0.477241159,-0.534669897,-0.562054233,-0.565692854,-0.58794932,-0.567348849,-0.572980919,-0.57588489,-0.561101734,-0.574221513,-0.570735793,-0.56464861,-0.573367454,-0.583469464,-0.563971164,-0.570493584
10,2,100,15,50,Elliptical,fites,1,NA,0.054962191,0.258085035,0.146772899,0.835,0.073,0,0.021405654,0.025409405,0.34871856,0.325444713,0.27847706,0.266442701,0.26902678,0.25820547,0.274913349,0.274507384,0.301252428,0.331607663,0.26124826,0.37005323,0.264562868,0.000690964,0.000275827,-0.000227063,-0.001541896,-0.014481532,-0.010900486,-0.004757582,-0.014599766,-0.004137357,-0.003287694,-0.012005282,-0.0055247,-0.011692762,-0.004044671,-0.011875667,-0.041199665,-0.024278779,-0.214584763,-0.217247563,-0.154939363,-0.15733263,-0.18127211,-0.140617453,-0.173730331,-0.1379206,-0.159086001,-0.137284496,-0.143755889,-0.122396917,-0.195946933
